"metric","browser","version","avg","stdev","stdev%","","raw_values.."
"TotalPrivateMemory","Opera","110.0.5130.66",6460524953.6,108436324.3766649,0.01678444478667959,"",6681202688.0,6463938560.0,6407979008.0,6557663232.0,6365691904.0,6278430720.0,6439587840.0,6434070528.0,6494715904.0,6481969152.0
"GpuProcessPrivate","Opera","110.0.5130.66",380643737.6,32869146.347726416,0.08635147015676638,"",387497984.0,356921344.0,354361344.0,331780096.0,414826496.0,370159616.0,371462144.0,380506112.0,390660096.0,448262144.0
"NonGpuChildPrivate","Opera","110.0.5130.66",5621882880.0,99641940.70189038,0.017723944598057935,"",5812027392.0,5646962688.0,5595451392.0,5744607232.0,5519138816.0,5470498816.0,5589319680.0,5600800768.0,5650239488.0,5589782528.0
"MainProcessPrivateMemory","Opera","110.0.5130.66",457998336.0,17894806.6361809,0.03907177216508686,"",481677312.0,460054528.0,458166272.0,481275904.0,431726592.0,437772288.0,478806016.0,452763648.0,453816320.0,443924480.0
"totalBytes","Opera","110.0.5130.66",0.0,0.0,0,"",0,0,0,0,0,0,0,0,0,0
"firstPaint_","Edge","125.0.2535.92",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"largestContentfulPaint_","Edge","125.0.2535.92",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"domContentLoadedTime_","Edge","125.0.2535.92",12.9,7.563802688536443,0.5863412936849955,"",10,9,9,11,8,10,20,32,8,12
"pageLoadTime_","Edge","125.0.2535.92",14.0,7.557189365836423,0.5397992404168873,"",11,10,10,12,9,11,21,33,9,14
"TotalPrivateMemory","Edge","125.0.2535.92",5445799936.0,147007706.02754915,0.02699469458210173,"",5450706944.0,5387218944.0,5446422528.0,5479829504.0,5669236736.0,5622382592.0,5329788928.0,5422931968.0,5143785472.0,5505695744.0
"GpuProcessPrivate","Edge","125.0.2535.92",322867609.6,30038393.58594224,0.09303625601576057,"",349220864.0,370937856.0,318988288.0,310824960.0,312397824.0,355106816.0,297394176.0,305942528.0,271114240.0,336748544.0
"NonGpuChildPrivate","Edge","125.0.2535.92",4728271257.6,120504882.84598216,0.02548603417206411,"",4711292928.0,4640313344.0,4732874752.0,4773990400.0,4935671808.0,4854259712.0,4643315712.0,4719357952.0,4499296256.0,4772339712.0
"MainProcessPrivateMemory","Edge","125.0.2535.92",394661068.8,14552136.667557951,0.03687249089910221,"",390193152.0,375967744.0,394559488.0,395014144.0,421167104.0,413016064.0,389079040.0,397631488.0,373374976.0,396607488.0
"totalBytes","Edge","125.0.2535.92",0.0,0.0,0,"",0,0,0,0,0,0,0,0,0,0
"pageLoadTime_Total","ChromeUBO","125.0.6422.176",40.7,16.94468123696112,0.416331234323369,"",62,49,20,43,50,50,13,54,19,47
"largestContentfulPaint_Total","Chrome","125.0.6422.176",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"domContentLoadedTime_Total","ChromeUBO","125.0.6422.176",39.7,16.92499794846533,0.4263223664600838,"",61,48,19,42,50,49,12,52,18,46
"domContentLoadedTime_Total","Brave","126.1.68.85",18.0,3.1269438398822866,0.1737191022156826,"",23,16,18,22,15,16,16,19,14,21
"pageLoadTime_Total","Edge","125.0.2535.92",14.0,7.557189365836423,0.5397992404168873,"",11,10,10,12,9,11,21,33,9,14
"largestContentfulPaint_Total","Opera","110.0.5130.66",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"pageLoadTime_Total","Chrome","125.0.6422.176",44.7,15.8468363474298,0.35451535452863087,"",52,54,53,56,43,53,18,55,50,13
"domContentLoadedTime_Total","Edge","125.0.2535.92",12.9,7.563802688536443,0.5863412936849955,"",10,9,9,11,8,10,20,32,8,12
"domContentLoadedTime_Total","Chrome","125.0.6422.176",43.9,15.975328200419268,0.36390269249246626,"",52,53,52,55,42,52,17,55,49,12
"pageLoadTime_Total","Opera","110.0.5130.66",61.5,3.9510898637098992,0.06424536363755934,"",57,66,66,62,66,61,54,61,62,60
"firstPaint_Total","ChromeUBO","125.0.6422.176",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"firstPaint_Total","Brave","126.1.68.85",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"firstPaint_Total","Edge","125.0.2535.92",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"largestContentfulPaint_Total","ChromeUBO","125.0.6422.176",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"domContentLoadedTime_Total","Opera","110.0.5130.66",60.5,3.9510898637098992,0.0653072704745438,"",56,65,65,61,65,60,53,60,61,59
"largestContentfulPaint_Total","Brave","126.1.68.85",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"largestContentfulPaint_Total","Edge","125.0.2535.92",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"firstPaint_Total","Chrome","125.0.6422.176",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"pageLoadTime_Total","Brave","126.1.68.85",19.4,2.988868236194653,0.1540653729997244,"",24,18,19,23,16,18,17,20,16,23
"firstPaint_Total","Opera","110.0.5130.66",-1.0,0.0,0,"",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"TotalPrivateMemory","DDG","0.83.1",4560348364.8,97295301.31943619,0.02133505897716724,"",4674007040.0,4617285632.0,4647186432.0,4516024320.0,4668461056.0,4566757376.0,4406411264.0,4562587648.0,4406714368.0,4538048512.0
"GpuProcessPrivate","DDG","0.83.1",420931584.0,10053090.58491014,0.02388295620247432,"",431001600.0,418025472.0,417005568.0,418353152.0,415150080.0,415420416.0,414814208.0,414457856.0,446050304.0,419037184.0
"NonGpuChildPrivate","DDG","0.83.1",3833765068.8,102394321.41757314,0.02670855401414135,"",3947745280.0,3895808000.0,3919736832.0,3789881344.0,3942961152.0,3840155648.0,3684245504.0,3854172160.0,3652292608.0,3810652160.0
"MainProcessPrivateMemory","DDG","0.83.1",305651712.0,6212686.454974101,0.020326031921503195,"",295260160.0,303452160.0,310444032.0,307789824.0,310349824.0,311181312.0,307351552.0,293957632.0,308371456.0,308359168.0
"TotalPrivateMemory","Firefox","127.0.0.8923",7245989888.0,107908210.71975563,0.014892128251305066,"",7408984064.0,7287824384.0,7233998848.0,7055556608.0,7237816320.0,7361249280.0,7279497216.0,7309479936.0,7153881088.0,7131611136.0
