"metric","browser","version","avg","stdev","stdev%","","raw_values.."
"totalBytes_nypost.com","Chrome","125.0.6422.142",8332738.0,502115.011703992,0.06025810624358908,"",8470784,7791289,8443003,9045492,7913122
"firstPaint_www.latimes.com","Chrome","125.0.6422.142",1382.6,21.77842969545784,0.01575179350170537,"",1396,1387,1409,1364,1357
"largestContentfulPaint_www.latimes.com","Chrome","125.0.6422.142",1382.6,21.77842969545784,0.01575179350170537,"",1396,1387,1409,1364,1357
"domContentLoadedTime_www.latimes.com","Chrome","125.0.6422.142",3742.8,328.5486265379906,0.08778150757133445,"",4085,4077,3626,3335,3591
"pageLoadTime_www.latimes.com","Chrome","125.0.6422.142",15000.0,0.0,0.0,"",15000,15000,15000,15000,15000
"totalBytes_www.latimes.com","Chrome","125.0.6422.142",2759269.2,316695.14121186006,0.11477500680682408,"",2352231,2527613,2814672,3116697,2985133
"firstPaint_www.cnet.com","Chrome","125.0.6422.142",1655.0,109.60839383915814,0.06622863676082062,"",1703,1555,1823,1577,1617
"largestContentfulPaint_www.cnet.com","Chrome","125.0.6422.142",2122.0,73.25639903789975,0.03452233696413749,"",2181,2080,2210,2031,2108
"domContentLoadedTime_www.cnet.com","Chrome","125.0.6422.142",2689.8,47.09777064787674,0.017509766766256502,"",2764,2656,2700,2644,2685
"pageLoadTime_www.cnet.com","Chrome","125.0.6422.142",15000.0,0.0,0.0,"",15000,15000,15000,15000,15000
"totalBytes_www.cnet.com","Chrome","125.0.6422.142",3869392.4,97306.01387016117,0.02514762107615686,"",3840584,4042730,3823420,3823843,3816385
"firstPaint_www.yahoo.com","Chrome","125.0.6422.142",2347.2,241.5599304520516,0.10291408079927215,"",2281,2130,2505,2683,2137
"largestContentfulPaint_www.yahoo.com","Chrome","125.0.6422.142",2582.0,420.179723451763,0.16273420737868435,"",2331,2251,2935,3134,2259
"domContentLoadedTime_www.yahoo.com","Chrome","125.0.6422.142",5164.2,450.588726001883,0.08725237713525484,"",4876,4580,5737,5400,5228
"pageLoadTime_www.yahoo.com","Chrome","125.0.6422.142",15000.0,0.0,0.0,"",15000,15000,15000,15000,15000
"totalBytes_www.yahoo.com","Chrome","125.0.6422.142",2271707.2,16216.037145369395,0.007138260223575201,"",2271960,2252056,2294874,2262019,2277627
"firstPaint_edition.cnn.com","Chrome","125.0.6422.142",2861.6,13.08816259067712,0.0045737219005721,"",2864,2841,2868,2876,2859
"largestContentfulPaint_edition.cnn.com","Chrome","125.0.6422.142",4061.0,316.2870531653169,0.0778840318062834,"",4302,3598,4301,4239,3865
"domContentLoadedTime_edition.cnn.com","Chrome","125.0.6422.142",3346.6,751.0904073412202,0.22443387537836018,"",4690,3004,3008,3032,2999
"pageLoadTime_edition.cnn.com","Chrome","125.0.6422.142",15000.0,0.0,0.0,"",15000,15000,15000,15000,15000
"totalBytes_edition.cnn.com","Chrome","125.0.6422.142",5601506.0,507419.95984145126,0.09058634585796235,"",5615636,6470579,5404740,5265280,5251295
"firstPaint_www.espn.com","Chrome","125.0.6422.142",5244.4,291.3902881017142,0.05556217834293994,"",5304,4774,5341,5569,5234
"largestContentfulPaint_www.espn.com","Chrome","125.0.6422.142",5729.2,289.8623811397402,0.050593866707348355,"",5799,5273,5767,6078,5729
"domContentLoadedTime_www.espn.com","Chrome","125.0.6422.142",5249.6,297.47151124099264,0.05666555761219762,"",5317,4770,5343,5582,5236
"pageLoadTime_www.espn.com","Chrome","125.0.6422.142",15000.0,0.0,0.0,"",15000,15000,15000,15000,15000
